,timestamp,demand,grid1-load,grid1-loss,grid1-temp,grid2-load,grid2-loss,grid2_1-temp,grid2_2-temp,grid3-load,grid3-loss,grid3-temp,has incorrect data
12321,2019-04-28 09:00:00,226.75343913240002,251.505,10.445,290.55,142.192,8.96011,282.926513671875,288.054412841797,9.7158,0.996122,286.46087646484403,False
12322,2019-04-28 10:00:00,224.6886609326,249.34799999999998,10.2948,291.55,137.575,8.60325,284.21826171875,289.193023681641,9.3109,0.9924290000000001,287.629608154297,False
12323,2019-04-28 11:00:00,221.60304578080002,246.8,10.1513,292.45,138.916,8.70275,285.334228515625,289.965911865234,8.6026,0.98718,288.619140625,False
12324,2019-04-28 12:00:00,218.6316911592,244.915,10.0439,292.45,138.781,8.68102,287.072509765625,291.363311767578,8.508,0.985585,290.032348632813,False
12325,2019-04-28 13:00:00,219.36475403490002,247.83900000000003,10.1965,292.45,139.421,8.72209,287.32421875,291.93603515625,8.5232,0.9868319999999999,290.456817626953,False
12326,2019-04-28 14:00:00,221.8624910382,250.632,10.3629,292.45,140.113,8.7747,287.503662109375,292.28558349609403,8.2991,0.983367,290.776824951172,False
12327,2019-04-28 15:00:00,221.4599994856,256.39099999999996,10.6935,292.35,140.575,8.80917,287.435546875,292.339752197266,8.6921,0.986474,290.792602539063,False
12328,2019-04-28 16:00:00,221.0793023194,258.72,10.8358,291.75,140.558,8.83976,287.032958984375,292.005401611328,8.8462,0.987843,290.595489501953,False
12329,2019-04-28 17:00:00,224.0337685337,263.04900000000004,11.0907,291.15,139.81799999999998,8.80146,286.22216796875,291.349273681641,9.005,0.990073,290.057586669922,False
12330,2019-04-28 18:00:00,234.81316698880002,267.188,11.3436,290.55,143.642,9.1108,286.36572265625,290.206268310547,9.0312,0.991086,288.782379150391,False
12331,2019-04-28 19:00:00,241.74876033209998,269.627,11.5227,288.75,143.18,9.4263,284.519287109375,287.752105712891,9.0245,0.9912,286.63568115234403,False
12332,2019-04-28 20:00:00,234.1267638266,266.28700000000003,11.324000000000002,286.95,146.967,9.92843,281.962158203125,285.22784423828097,9.1445,0.990748,284.634735107422,False
12333,2019-04-28 21:00:00,217.9171043493,247.785,10.2565,285.15,143.814,9.6792,280.5439453125,283.238006591797,8.4977,0.9850469999999999,283.341552734375,False
